UserIDs_in,Treatment,Mass,Date,
24p,p,0.2402,6/21/2020,
20c,c,0.1682,6/21/2020,
22n,n,0.1158,6/21/2020,
19p,p,0.3616,6/21/2020,
18c,c,0.1832,6/21/2020,
17n,n,0.197,6/21/2020,
16c,c,0.0907,6/21/2020,
15n,n,0.3122,6/21/2020,
14p,p,0.216,6/21/2020,
13c,c,0.2195,6/21/2020,
11p,p,0.1636,6/21/2020,
9c,c,0.2208,6/21/2020,
8p,p,0.1304,6/21/2020,
5n,n,0.2175,6/21/2020,
3n,n,0.1615,6/21/2020,
2p,p,0.12,6/21/2020,
1n,n,0.201,6/21/2020,
23c,c,0.2348,6/21/2020,
20c,c,0.1458,7/19/2020,
24p,p,0.1278,7/19/2020,
9c,c,0.2097,7/19/2020,
13c,c,0.189,7/19/2020,
15n,n,0.1947,7/19/2020,
16c,c,0.1674,7/19/2020,
18c,c,0.2212,7/19/2020,
5n,n,0.2326,7/19/2020,
8p,p,0.1731,7/19/2020,
11p,p,0.206,7/19/2020,
3n,n,0.1295,7/19/2020,
22n,n,0.1778,7/19/2020,
14p,p,0.1488,7/19/2020,
1n,n,0.1556,7/19/2020,
17n,n,0.1499,7/19/2020,
23c,c,0.2112,7/19/2020,
19p,p,0.1181,7/19/2020,
2p,p,0.2222,7/19/2020,
22n,n,0.2115,8/16/2020,
18c,c,0.1973,8/16/2020,
14p,p,0.1662,8/16/2020,
24p,p,0.1419,8/16/2020,
15n,n,0.1534,8/16/2020,
13c,c,0.1336,8/16/2020,
20c,c,0.1682,8/16/2020,
17n,n,0.1531,8/16/2020,
11p,p,0.1619,8/16/2020,
23c,c,0.1636,8/16/2020,
16c,c,0.1918,8/16/2020,
19p,p,0.1623,8/16/2020,
1n,n,0.1438,8/16/2020,
8p,p,0.1925,9/5/2020,
11p,p,0.1498,9/5/2020,
14p,p,0.2438,9/5/2020,
9c,c,0.2136,9/5/2020,
15n,n,0.2773,9/5/2020,
18c,c,0.2795,9/5/2020,
23c,c,0.2246,9/5/2020,
24p,p,0.1215,9/5/2020,
5n,n,0.1465,9/5/2020,
13c,c,0.1595,9/5/2020,
17n,n,0.2492,9/5/2020,
19p,p,0.1822,9/5/2020,
20c,c,0.1865,9/5/2020,
22n,n,0.3217,9/5/2020,
16c,c,0.1627,9/5/2020,
8p,p,0.1799,9/27/2020,
24p,p,0.1408,9/27/2020,
16co,c,0.191,9/27/2020,old
22no,n,0.2696,9/27/2020,old
1no,n,0.3074,9/27/2020,old
1n,n,0.2018,9/27/2020,
14p,p,0.2401,9/27/2020,
5n,n,0.2165,9/27/2020,
18c,c,0.2294,9/27/2020,
11p,p,0.1655,9/27/2020,
20c,c,0.1565,9/27/2020,
24po,p,0.2607,9/27/2020,old
13c,c,0.2051,9/27/2020,
13co,c,0.1925,9/27/2020,old
20co,c,0.2286,9/27/2020,old
22n,n,0.2288,9/27/2020,
15n,n,0.2397,9/27/2020,
17no,n,0.2038,9/27/2020,old
15no,n,0.3903,9/27/2020,old
3no,n,0.2298,9/27/2020,old
5no,n,0.1892,9/27/2020,old
3n,n,0.131,9/27/2020,
2po,p,0.3646,9/27/2020,old
17n,n,0.1238,9/27/2020,
23co,c,0.2452,9/27/2020,old
19p,p,0.1912,9/27/2020,
16c,c,0.1532,9/27/2020,
23c,c,0.2115,9/27/2020,
9co,c,0.2499,9/27/2020,old
11po,p,0.2135,9/27/2020,old
19po,p,0.1832,9/27/2020,old
18co,c,0.215,9/27/2020,old
9c,c,0.1565,9/27/2020,
14po,p,0.2568,9/27/2020,old
2p,p,0.1331,9/27/2020,
